tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ
MSI MPG X870E CARBON MAX WIFI,6452944,AM5,ATX,256,4,RGB / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
MSI B650 PRO B650M-A AM5 DDR5 Micro ATX,4992114,AM5,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI MPG Z390M GAMING EDGE AC LGA 1151 (300 Series) Intel Z390 SATA 6Gb/s Micro ATX Intel Motherboard,6849437,LGA 1151,Micro ATX,128,4,,DDR4,PCIe 3.0 x4 and SATA 6Gb/s,sata_6_gb_s
Asus Z170 MAXIMUS VIII EXTREME LGA1151 WIFI DDR4 EATX,17124250,LGA 1151,EATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B450 M S2H DDR4 Micro ATX,2897687,AM4,Micro ATX,32,2,ĐEN,DDR4,PCIe 4.0 x4,
MSI A320M-A PRO,2897950,AM4,Micro ATX,32,2,,DDR4,PCIe 3.0 x4,sata_6_gb_s
Gigabyte Z370 AORUS GAMING WIFI (rev. 1.0) DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B460-PLUS LGA 1200 Intel B460 SATA 6Gb/s ATX Intel Motherboard,12592910,LGA 1200,ATX,128,4,,DDR4,PCIE 3.0 x4 & SATA; PCIE 3.0 x4,sata_6_gb_s
Asus H610 PRIME H610I-PLUS DDR5 Mini ITX,5870720,LGA 1700,Mini-ITX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B560 M PRO-E DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,
Asus Z390 PRIME Z390M-PLUS DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,128,4,TRẮNG / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock H510M HDV/M.2 SE DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
MSI A520M MAG VECTOR WIFI AM4 DDR4 Micro ATX,2897950,AM4,Micro ATX,64,2,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
MSI Z590 MEG UNIFY-X DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock X79 Extreme6 LGA2011 DDR3 ATX,17602412,LGA 2011,ATX,64,8,ĐEN / XÁM,DDR3,,sata_3_gb_s; sata_6_gb_s
Asus H510 PRIME H510M-K DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Asus Z690 PRIME Z690-P DDR5 ATX,8166687,LGA 1700,ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B760M MAG MORTAR MAX WIFI DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASUS PRIME B650M-A AX6 II,5532187,AM5,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
NZXT Z590 N7 LGA1200 DDR4 ATX,10537737,LGA 1200,ATX,128,4,TRẮNG,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus A620 PRIME A620AM-K-CSM AM5 DDR5 Micro ATX,5532187,AM5,Micro ATX,128,2,ĐEN,DDR5,PCIe 4.0 x4,
MSI Z590 MPG GAMING FORCE DDR4 ATX,10294045,LGA 1200,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B840M D2H AM5 DDR5 Micro ATX,4466531,AM5,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B760M GAMING WIFI DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS ROG STRIX Z490-G GAMING (WiFi 6),4097965,LGA 1200,Micro ATX,128,4,,DDR4,PCIE 3.0 x4; SATA & PCIE 3.0 x4,sata_6_gb_s
Gigabyte B250 GA-B250M-Gaming 3 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
Asus H310 PRIME H310M-C/CSM DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B365M Pro4 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,
Sapphire NITRO+ B850A WIFI 7,6309628,AM5,ATX,256,4,ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Gigabyte B650 AORUS ELITE AX DDR5 ATX,6129691,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,
ASUS PRIME B760M-F WIFI-CSM,4858808,LGA 1700,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
Gigabyte GA-A320M-S2H Micro ATX AM4,2897687,AM4,Micro ATX,32,2,,DDR4,NVMe PCIe 3.0 x4 & SATA Mode,sata_6_gb_s
Gigabyte Z690 AORUS ELITE AX (rev. 1.4) DDR5 ATX,6913982,LGA 1700,ATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
Biostar B650 MT AM5 DDR5 Micro ATX,4572965,AM5,Micro ATX,96,2,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B360M PRO-VD DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,32,2,NÂU / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte Z170 GA-Z170MX-Gaming 5 DDR4 Micro ATX,6849437,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
ASRock B460 M Pro4 LGA1200 DDR4 Micro ATX,6559642,LGA 1200,Micro ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s
Gigabyte B850 GAMING X WIFI6E AM5 DDR5 ATX,6129691,AM5,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,
ASRock Z790 Nova WiFi DDR5 ATX,5327222,LGA 1700,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus ROG STRIX Z890-E GAMING WIFI DDR5 ATX,8693587,LGA 1851,ATX,192,4,ĐEN,DDR5,PCIe 4.0 x4,
Asus B150 PRO GAMING/AURA DDR4 ATX,9707869,LGA 1151,ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s
EVGA Z790 CLASSIFIED LGA1700 DDR5 EATX,13725482,LGA 1700,EATX,128,4,ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ROG STRIX X870-F GAMING WIFI,6309628,AM5,ATX,192,4,,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Asus PRIME Z690-P WIFI D4 DDR4 ATX,8166687,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,
Gigabyte B860M H LGA1851 DDR5 Micro ATX,4478387,LGA 1851,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s
ASUS B850M-E AYW GAMING WIFI-CSM,5532187,AM5,Micro ATX,128,2,TRẮNG / ĐEN / XÁM,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s
Biostar A320 MH DDR4 Micro ATX,2925612,AM4,Micro ATX,32,2,ĐEN / VÀNG,DDR4,,
Gigabyte B760M AORUS ELITE LGA1700 DDR5 Micro ATX,4220206,LGA 1700,Micro ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,sata_6_gb_s
MSI B660M MAG BAZOOKA DDR4 Micro ATX,4083212,LGA 1700,Micro ATX,128,4,XANH LÁ / ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s
