tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp,interface,image_url
SAPPHIRE NITRO+ AMD Radeon RX 9070 OC 16GB GDDR6,14399760,Radeon RX 9070,16.0,1440.0,2700.0,GREY,330.8,245.0,PCIe 5.0 x16,assets/images/gpu/gpu_sapphire_nitro_amd_radeon_rx_9070_oc_16gb_gddr6.png
XFX QuickSilver AMD Radeon RX 9070 OC White Gaming Edition,14399760,Radeon RX 9070,16.0,1440.0,2700.0,WHITE,355.0,220.0,PCIe 5.0 x16,assets/images/gpu/gpu_xfx_quicksilver_amd_radeon_rx_9070_oc_white_gaming_edition.png
PowerColor Hellhound OC Radeon RX 9070 16GB GDDR6,14399760,Radeon RX 9070,16.0,2120.0,2590.0,BLACK,327.0,220.0,PCIe 5.0 x16,assets/images/gpu/gpu_powercolor_hellhound_oc_radeon_rx_9070_16gb_gddr6.png
MSI SUPRIM X GeForce RTX 3090 Ti 24GB GDDR6X Silver / Black,46799760,GeForce RTX 3090 Ti,24.0,1560.0,1965.0,GREY,338.0,480.0,PCIe x16,assets/images/gpu/gpu_msi_suprim_x_geforce_rtx_3090_ti_24gb_gddr6x_silver_black.png
Gigabyte GAMING OC GeForce RTX 3090 Ti 24GB GDDR6X Black,46799760,GeForce RTX 3090 Ti,24.0,1560.0,1905.0,BLACK,331.0,450.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gaming_oc_geforce_rtx_3090_ti_24gb_gddr6x_black.png
Sapphire PULSE Radeon RX 6650 XT 8GB GDDR6 Red / Black,7954080,Radeon RX 6650 XT,8.0,2055.0,2635.0,RED,240.0,176.0,PCIe x16,assets/images/gpu/gpu_sapphire_pulse_radeon_rx_6650_xt_8gb_gddr6_red_black.png
PowerColor Hellhound Sakura Radeon RX 6650 XT 8GB GDDR6 White / Pink,7954080,Radeon RX 6650 XT,8.0,2055.0,2689.0,WHITE,220.0,180.0,PCIe x16,assets/images/gpu/gpu_powercolor_hellhound_sakura_radeon_rx_6650_xt_8gb_gddr6_white_pink.png
Sapphire Radeon RX 6650 XT NITRO+ 8GB GDDR6 Silver / Black,7954080,Radeon RX 6650 XT,8.0,2055.0,2694.0,GREY,260.0,203.0,PCIe x16,assets/images/gpu/gpu_sapphire_radeon_rx_6650_xt_nitro_8gb_gddr6_silver_black.png
Gigabyte GAMING OC Radeon RX 6650 XT 8GB GDDR6 Black / Gray,7954080,Radeon RX 6650 XT,8.0,2055.0,2694.0,BLACK,282.0,180.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gaming_oc_radeon_rx_6650_xt_8gb_gddr6_black_gray.png
EVGA SC ULTRA GAMING GeForce GTX 1660 6GB GDDR5 Silver / Black,6456000,GeForce GTX 1660,6.0,1530.0,1830.0,GREY,202.0,120.0,PCIe x16,assets/images/gpu/gpu_evga_sc_ultra_gaming_geforce_gtx_1660_6gb_gddr5_silver_black.png
Gigabyte GeForce GTX 1660 GAMING OC 6GB GDDR5 Black / Gray,6456000,GeForce GTX 1660,6.0,1530.0,1860.0,BLACK,280.0,120.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_gtx_1660_gaming_oc_6gb_gddr5_black_gray.png
Asus TURBO GeForce GTX 960 4GB GDDR5 White / Red,9576000,GeForce GTX 960,4.0,1190.0,1253.0,WHITE,264.0,120.0,PCIe x16,assets/images/gpu/gpu_asus_turbo_geforce_gtx_960_4gb_gddr5_white_red.png
Gigabyte GV-N960G1 GAMING-4GD GeForce GTX 960 4GB GDDR5 Black,9576000,GeForce GTX 960,4.0,1241.0,1304.0,BLACK,295.0,120.0,PCIe x16,assets/images/gpu/gpu_gigabyte_gv_n960g1_gaming_4gd_geforce_gtx_960_4gb_gddr5_black.png
Gigabyte GeForce GTX 960 GV-N960WF2OC-2GD Black 2GB GDDR5,5976000,GeForce GTX 960,2.0,1216.0,1279.0,BLACK,257.0,120.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_gtx_960_gv_n960wf2oc_2gd_black_2gb_gddr5.png
Sapphire Radeon RX 7700 XT PURE Frostpunk 2 Edition 12GB GDDR6 White,9599280,Radeon RX 7700 XT,12.0,1700.0,2584.0,WHITE,320.0,240.0,PCIe x16,assets/images/gpu/gpu_sapphire_radeon_rx_7700_xt_pure_frostpunk_2_edition_12gb_gddr6_white.png
PowerColor Fighter OC Radeon RX 7700 XT 12GB GDDR6 Black,9599280,Radeon RX 7700 XT,12.0,1700.0,2584.0,BLACK,290.0,245.0,PCIe x16,assets/images/gpu/gpu_powercolor_fighter_oc_radeon_rx_7700_xt_12gb_gddr6_black.png
XFX SPEEDSTER SWFT 210 AMD Radeon RX 7600 Core Edition White,6599760,Radeon RX 7600,8.0,1875.0,2655.0,WHITE,241.0,165.0,PCIe x16,assets/images/gpu/gpu_xfx_speedster_swft_210_amd_radeon_rx_7600_core_edition_white.png
Gigabyte GAMING OC Radeon RX 7600 8GB GDDR6,6599760,Radeon RX 7600,8.0,1876.0,2755.0,BLACK,282.0,165.0,PCIe 4.0 x8,assets/images/gpu/gpu_gigabyte_gaming_oc_radeon_rx_7600_8gb_gddr6.png
MSI MECH 2X OCV1 Radeon RX 6600 XT 8GB GDDR6 Black / Silver,15552000,Radeon RX 6600 XT,8.0,1968.0,2602.0,BLACK,215.0,160.0,PCIe x16,assets/images/gpu/gpu_msi_mech_2x_ocv1_radeon_rx_6600_xt_8gb_gddr6_black_silver.png
MSI GAMING GeForce GTX 1050 2GB GDDR5 Red / Black,4752000,GeForce GTX 1050,2.0,1354.0,1556.0,RED,229.0,75.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_geforce_gtx_1050_2gb_gddr5_red_black.png
Asus DUAL GeForce GTX 1050 2GB GDDR5 White / Blue,4752000,GeForce GTX 1050,2.0,1404.0,1518.0,WHITE,212.0,75.0,PCIe x16,assets/images/gpu/gpu_asus_dual_geforce_gtx_1050_2gb_gddr5_white_blue.png
Gigabyte OC GeForce GTX 1050 2GB GDDR5 Black / Orange,4752000,GeForce GTX 1050,2.0,1379.0,1518.0,BLACK,191.0,75.0,PCIe x16,assets/images/gpu/gpu_gigabyte_oc_geforce_gtx_1050_2gb_gddr5_black_orange.png
Inno3D Twin X2 OC GeForce GTX 1650 SUPER 4GB GDDR6 Black,10056000,GeForce GTX 1650 SUPER,4.0,1530.0,1755.0,BLACK,220.0,100.0,PCIe x16,assets/images/gpu/gpu_inno3d_twin_x2_oc_geforce_gtx_1650_super_4gb_gddr6_black.png
SAPPHIRE PURE AMD Radeon RX 7900 GRE 16GB GDDR6,16079760,Radeon RX 7900 GRE,16.0,1448.0,2333.0,WHITE,320.0,275.0,PCIe 4.0 x16,assets/images/gpu/gpu_sapphire_pure_amd_radeon_rx_7900_gre_16gb_gddr6.png
PowerColor AMD Radeon RX 7900 GRE Fighter OC 16GB GDDR6,16079760,Radeon RX 7900 GRE,16.0,1358.0,2293.0,BLACK,303.0,260.0,PCIe 4.0 x16,assets/images/gpu/gpu_powercolor_amd_radeon_rx_7900_gre_fighter_oc_16gb_gddr6.png
PowerColor AXRX 570 8GBD5-DM Radeon RX 570 4GB GDDR5 Black / Red,7176000,Radeon RX 570,4.0,1105.0,1244.0,BLACK,255.0,150.0,PCIe x16,assets/images/gpu/gpu_powercolor_axrx_570_8gbd5_dm_radeon_rx_570_4gb_gddr5_black_red.png
EVGA GeForce GT 1030 Gray 2GB GDDR5 Gray,2557440,GeForce GT 1030,2.0,1290.0,1544.0,GREY,168.0,30.0,PCIe x16,assets/images/gpu/gpu_evga_geforce_gt_1030_gray_2gb_gddr5_gray.png
Gigabyte GeForce GT 1030 White 2GB GDDR5 White,2557440,GeForce GT 1030,2.0,1252.0,1506.0,WHITE,175.0,30.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_gt_1030_white_2gb_gddr5_white.png
MSI AERO ITX OC GeForce GT 1030 2GB GDDR5,2557440,GeForce GT 1030,2.0,1265.0,1518.0,BLACK,147.0,30.0,PCIe x16,assets/images/gpu/gpu_msi_aero_itx_oc_geforce_gt_1030_2gb_gddr5.png
MSI GeForce RTX 2080 VENTUS 8GB GDDR6 Silver / Black,18600000,GeForce RTX 2080,8.0,1515.0,1710.0,GREY,268.0,215.0,PCIe x16,assets/images/gpu/gpu_msi_geforce_rtx_2080_ventus_8gb_gddr6_silver_black.png
Gigabyte GeForce RTX 2080 GAMING OC 8GB GDDR6 White / Black,18600000,GeForce RTX 2080,8.0,1710.0,1830.0,WHITE,286.0,215.0,PCIe x16,assets/images/gpu/gpu_gigabyte_geforce_rtx_2080_gaming_oc_8gb_gddr6_white_black.png
MSI Gaming X Trio GeForce RTX 2080 8GB GDDR6 Black,18600000,GeForce RTX 2080,8.0,1515.0,1860.0,BLACK,327.0,215.0,PCIe x16,assets/images/gpu/gpu_msi_gaming_x_trio_geforce_rtx_2080_8gb_gddr6_black.png
Gainward GeForce GTX 980 Phantom 4GB GDDR5 Black / Silver,9336000,GeForce GTX 980,4.0,1203.0,1304.0,BLACK,274.0,165.0,PCIe x16,assets/images/gpu/gpu_gainward_geforce_gtx_980_phantom_4gb_gddr5_black_silver.png
