tên,giá,socket,kích thước,RAM tối đa,khe RAM,màu,Ram hỗ trợ,khe M.2,lưu trữ,pcie,image_url
Gigabyte B250 GA-B250-HD3 LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,64,4,ĐEN / VÀNG,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b250_ga_b250_hd3_lga1151_ddr4_atx.png
Asus B250 PRIME B250M-K LGA1151 DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,32,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b250_prime_b250m_k_lga1151_ddr4_micro_atx.png
Gigabyte B760 GAMING X DDR5 ATX,6913982,LGA 1700,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_b760_gaming_x_ddr5_atx.png
Gigabyte Z390 AORUS ELITE LGA1151 DDR4 ATX,7007770,LGA 1151,ATX,128,4,ĐEN / XÁM,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z390_aorus_elite_lga1151_ddr4_atx.png
MSI B560 MAG B560M MORTAR DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b560_mag_b560m_mortar_ddr4_micro_atx.png
Asus B450 TUF GAMING B450M-PLUS II AM4 DDR4 Micro ATX,3815546,AM4,Micro ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b450_tuf_gaming_b450m_plus_ii_am4_ddr4_micro_atx.png
Gigabyte Z890 AI TOP LGA1851 DDR5 EATX,21589464,LGA 1851,EATX,256,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_gigabyte_z890_ai_top_lga1851_ddr5_eatx.png
Asus Z690-G ROG STRIX GAMING WIFI DDR5 Micro ATX,4858808,LGA 1700,Micro ATX,128,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z690_g_rog_strix_gaming_wifi_ddr5_micro_atx.png
MSI B860 PRO B860-P WIFI LGA1851 DDR5 ATX,6322537,LGA 1851,ATX,256,4,XÁM / ĐEN,DDR5,PCIe 5.0 x4; PCIe 4.0 x4; PCIe 4.0 x2,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_msi_b860_pro_b860_p_wifi_lga1851_ddr5_atx.png
Asus B860 PRIME B860M-K-CSM LGA1851 DDR5 Micro ATX,5532187,LGA 1851,Micro ATX,128,2,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b860_prime_b860m_k_csm_lga1851_ddr5_micro_atx.png
Asus Z390 ROG STRIX Z390-F GAMING DDR4 ATX,9707869,LGA 1151,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_z390_rog_strix_z390_f_gaming_ddr4_atx.png
MSI Z790 MPG EDGE WIFI DDR4 ATX,6306466,LGA 1700,ATX,128,4,XÁM / ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_z790_mpg_edge_wifi_ddr4_atx.png
MSI B450 GAMING PRO CARBON AC AM4 DDR4 ATX,9905720,AM4,ATX,128,4,ĐEN,DDR4,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b450_gaming_pro_carbon_ac_am4_ddr4_atx.png
MSI H410 H410M PRO LGA1200 DDR4 Micro ATX,7903237,LGA 1200,Micro ATX,64,2,ĐEN / XÁM,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_h410_h410m_pro_lga1200_ddr4_micro_atx.png
Asus Q470 Pro Q470M-C/CSM LGA1200 DDR4 Micro ATX,4097965,LGA 1200,Micro ATX,128,4,XANH LÁ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_q470_pro_q470m_c_csm_lga1200_ddr4_micro_atx.png
Asus B250G STRIX Gaming DDR4 Micro ATX,4564271,LGA 1151,Micro ATX,64,4,ĐEN / ĐỎ,DDR4,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_asus_b250g_strix_gaming_ddr4_micro_atx.png
Gigabyte X870 AORUS STEALTH,6129691,AM5,ATX,256,4,TRẮNG,DDR5,PCIe 5.0 x4; PCIe 4.0 x4,sata_6_gb_s,PCIe 5.0 x16,assets/images/motherboard_motherboard_gigabyte_x870_aorus_stealth.png
MSI AMD B650 PRO B650-VC WIFI AM5 DDR5 ATX,6452944,AM5,ATX,192,4,ĐEN / XÁM,DDR5,PCIe 4.0 x4,,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_amd_b650_pro_b650_vc_wifi_am5_ddr5_atx.png
MSI B760 MAG B760M MORTAR DDR5 Micro ATX,4083212,LGA 1700,Micro ATX,192,4,XÁM / ĐEN,DDR5,PCIe 4.0 x4,sata_6_gb_s,PCIe 4.0 x16,assets/images/motherboard_motherboard_msi_b760_mag_b760m_mortar_ddr5_micro_atx.png
