tên,giá,chipset,bộ nhớ,xung cơ bản,xung boost,màu,chiều dài,tdp
PowerColor Red Devil Limited Edition OC Radeon RX 7800 XT 16GB GDDR6 Black,14399760,Radeon RX 7800 XT,16.0,1295.0,2565.0,BLACK,332.0,263.0
Sapphire Toxic Radeon RX 6900 XT 16GB GDDR6 Silver / Yellow,18479760,Radeon RX 6900 XT,16.0,1825.0,2500.0,YELLOW,320.0,300.0
MSI GAMING Z TRIO Radeon RX 6900 XT 16GB GDDR6 Silver / Black,18479760,Radeon RX 6900 XT,16.0,1825.0,2425.0,GREY,324.0,300.0
PowerColor Red Devil OC Radeon RX 6900 XT 16GB GDDR6 Black,18479760,Radeon RX 6900 XT,16.0,2015.0,2340.0,BLACK,332.0,300.0
Asus Noctua OC GeForce RTX 3070 LHR 8GB GDDR6 Brown / Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,BROWN,310.0,220.0
PNY XLR8 Gaming REVEL EPIC-X RGB GeForce RTX 3070 LHR 8GB GDDR6 Silver / Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1725.0,GREY,294.0,220.0
Zotac GeForce RTX 3070 LHR GAMING Twin Edge OC White Edition 8GB GDDR6 White,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1755.0,WHITE,232.0,220.0
MSI GAMING Z TRIO GeForce RTX 3070 LHR 8GB GDDR6 Black,15816000,GeForce RTX 3070 LHR,8.0,1500.0,1845.0,BLACK,323.0,240.0
Sapphire NITRO+ Radeon RX 7900 XT 20GB GDDR6 Silver / Black,23924880,Radeon RX 7900 XT,20.0,2000.0,2560.0,GREY,320.0,368.0
PowerColor Radeon RX 7900 XT Hellhound OC 20GB GDDR6 White,23924880,Radeon RX 7900 XT,20.0,2000.0,2500.0,WHITE,320.0,300.0
MSI GAMING TRIO CLASSIC Radeon RX 7900 XT 20GB GDDR6 Black / Silver,23924880,Radeon RX 7900 XT,20.0,2000.0,2400.0,BLACK,325.0,315.0
Gainward Ghost OC GeForce GTX 1660 SUPER 6GB GDDR6 Black,8136000,GeForce GTX 1660 SUPER,6.0,1530.0,1830.0,BLACK,235.0,125.0
Sapphire NITRO+ AMD Radeon RX 7900 XTX Vapor-X 24GB GDDR6,21599760,Radeon RX 7900 XTX,24.0,2119.0,2680.0,GREY,320.0,420.0
PowerColor Hellhound Spectral White AMD Radeon RX 7900 XTX 24GB GDDR6 OC,21599760,Radeon RX 7900 XTX,24.0,1980.0,2525.0,WHITE,320.0,355.0
Gigabyte GV-R79XTX-24GC-B Radeon RX 7900 XTX 24GB GDDR6 Black,21599760,Radeon RX 7900 XTX,24.0,2300.0,2500.0,BLACK,287.0,355.0
MSI Gaming X Trio Radeon RX 6800 XT 16GB GDDR6 Silver / Black,17256000,Radeon RX 6800 XT,16.0,1850.0,2285.0,GREY,324.0,300.0
MSI Radeon RX 6800 XT 16GB GDDR6 Black / Silver,17256000,Radeon RX 6800 XT,16.0,1825.0,2250.0,BLACK,267.0,300.0
Yeston Sakura Atlantis Radeon RX 9070 16GB GDDR6 Blue / Pink,14399760,Radeon RX 9070,16.0,2070.0,2700.0,BLUE,332.0,220.0
SAPPHIRE NITRO+ AMD Radeon RX 9070 OC 16GB GDDR6,14399760,Radeon RX 9070,16.0,1440.0,2700.0,GREY,330.8,245.0
XFX QuickSilver AMD Radeon RX 9070 OC White Gaming Edition,14399760,Radeon RX 9070,16.0,1440.0,2700.0,WHITE,355.0,220.0
PowerColor Hellhound OC Radeon RX 9070 16GB GDDR6,14399760,Radeon RX 9070,16.0,2120.0,2590.0,BLACK,327.0,220.0
MSI SUPRIM X GeForce RTX 3090 Ti 24GB GDDR6X Silver / Black,46799760,GeForce RTX 3090 Ti,24.0,1560.0,1965.0,GREY,338.0,480.0
Gigabyte GAMING OC GeForce RTX 3090 Ti 24GB GDDR6X Black,46799760,GeForce RTX 3090 Ti,24.0,1560.0,1905.0,BLACK,331.0,450.0
Sapphire PULSE Radeon RX 6650 XT 8GB GDDR6 Red / Black,7954080,Radeon RX 6650 XT,8.0,2055.0,2635.0,RED,240.0,176.0
PowerColor Hellhound Sakura Radeon RX 6650 XT 8GB GDDR6 White / Pink,7954080,Radeon RX 6650 XT,8.0,2055.0,2689.0,WHITE,220.0,180.0
Sapphire Radeon RX 6650 XT NITRO+ 8GB GDDR6 Silver / Black,7954080,Radeon RX 6650 XT,8.0,2055.0,2694.0,GREY,260.0,203.0
Gigabyte GAMING OC Radeon RX 6650 XT 8GB GDDR6 Black / Gray,7954080,Radeon RX 6650 XT,8.0,2055.0,2694.0,BLACK,282.0,180.0
EVGA SC ULTRA GAMING GeForce GTX 1660 6GB GDDR5 Silver / Black,6456000,GeForce GTX 1660,6.0,1530.0,1830.0,GREY,202.0,120.0
Gigabyte GeForce GTX 1660 GAMING OC 6GB GDDR5 Black / Gray,6456000,GeForce GTX 1660,6.0,1530.0,1860.0,BLACK,280.0,120.0
Asus TURBO GeForce GTX 960 4GB GDDR5 White / Red,9576000,GeForce GTX 960,4.0,1190.0,1253.0,WHITE,264.0,120.0
Gigabyte GV-N960G1 GAMING-4GD GeForce GTX 960 4GB GDDR5 Black,9576000,GeForce GTX 960,4.0,1241.0,1304.0,BLACK,295.0,120.0
Gigabyte GeForce GTX 960 GV-N960WF2OC-2GD Black 2GB GDDR5,5976000,GeForce GTX 960,2.0,1216.0,1279.0,BLACK,257.0,120.0
Sapphire Radeon RX 7700 XT PURE Frostpunk 2 Edition 12GB GDDR6 White,9599280,Radeon RX 7700 XT,12.0,1700.0,2584.0,WHITE,320.0,240.0
